project_id,grantee,subgrantee,project_name,year,status,project_lead,other_project_lead,category,sub_category,recovery_domain,project_descripton,project_benefit,watershed,resource,county,HUC,geometry
7838,ecoatlas,NA,Snake Creek Fencing and Off-Stream Watering,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"Reconnection of stream channel to Sycan river, protection of riparian area, overall habitat and water quality improvements; Total BMPs: 3 (Riparian Management; Instream restoration and channel construction; Fish Barrier Removal).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.2803, 42.4866)"
7217,ecoatlas,NA,Bridge Replacement Riparian Mitigation,NA,Construction in-progress,NA,NA,NA,NA,NA,"The primary purpose of the Project is to replace the existing single-lane Wildwood Road Bridge (No. 05C-0086) with a wider two-lane bridge. The current bridge was determined to be structurally deficient, due to substandard load carrying capacity, in 2006. The Project will locate the replacement bridge centerline.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010212,"c(-123.05806, 40.4008)"
7848,ecoatlas,NA,Ausaymas Cattle Company and Hawkins Cattle Company Klamath Off-project Water Lease,NA,Completed,NA,NA,NA,NA,NA,Improve/increase stream flow; Total BMPs: 1 (Instream water right transfers/leases).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-121.94349, 42.64095)"
10805,ecoatlas,NA,"SR 3, PM 24.97",NA,In-progress/Implementation,NA,NA,NA,NA,NA,The primary purpose of the Project is to replace and upsize a culvert to improve the structural integrity and proper drainage to maintain the highway and protect the traveling public. The Project serves to improve water quality throughout Fraszier Creek and restore anadromous fish passage through the culvert structure.,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.97462, 40.61714)"
8451,ecoatlas,NA,CDOT - Highway 3 – Hayfork Bike Lane Project,NA,Completed,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010212,"c(-123.125, 40.5)"
7855,ecoatlas,NA,Wood River Riparian Fencing,NA,Completed,NA,NA,NA,NA,NA,"Restore riparian vegetation, nutrient filtration and reduced nutrient loading; Total BMPs: 1 (Riparian Management).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07, 42.4)"
8509,ecoatlas,NA,"CDOT - State Route 101, Del Norte Culvert and Drainage Repairs",NA,Completed,NA,NA,NA,NA,NA,"The Project will occur at seven locations along State Route (SR) 101 between post‐miles 0.95 and 23.60, in Del Norte County.  The purpose of the Project is to repair compromised drainage systems.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Del Norte,18010209,"c(-124.04685, 41.47731)"
7846,ecoatlas,NA,Owens and Hawkins Klamath Off-project Water Lease,NA,Completed,NA,NA,NA,NA,NA,Improve/increase stream flow; Total BMPs: 1 (Instream water right transfers/leases).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-121.99084, 42.6869)"
7831,ecoatlas,NA,South Fork Sprague-Deming Ranch Fish Passage,NA,Completed,NA,NA,NA,NA,NA,Improve fish passage; enhance riparian condition; reduce phosphorus and sediment loading to Upper Klamath Lake; improve fish habitat; Total BMPs: 4 (Riparian Management; Instream restoration and channel construction; Fish Screen; and Other),Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.17, 42.58)"
7868,ecoatlas,NA,Iron Gate Reservoir Intake Barrier,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The main goal of this project is to reduce the entrainment of Microcystis from Iron Gate Reservoir into the powerhouse and release into the Klamath River downstream of Iron Gate dam. By doing so, public health risks from microcystin exposure could be reduces for the public using the river downstream of Iron Gate dam.; Total BMPs: 1 (Other).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010206,"c(-122.68795, 41.8802)"
8127,ecoatlas,NA,Klamath River Bridge,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The purpose of the project is to construct a new bridge that
meets modern highway design standards over the Klamath River on a new alignment
immediately west of, and parallel with, the existing bridge",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010206,"c(-122.59226, 41.83119)"
7839,ecoatlas,NA,UKSIP North Ditch Screen and Passage,NA,Completed,NA,NA,NA,NA,NA,"Prevent entrainment of native fish, provide upstream passage at diversion; Total BMPs: 1 (Fish screen).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.17, 42.58)"
7845,ecoatlas,NA,Sevenmile Creek Historic Channel Enhancement,NA,Completed,NA,NA,NA,NA,NA,"Increase water to stream during low flows, improve/increase fish passage, improve/increase stream structure and complexity, improve/increase stream refuge cover; Total BMPs: 2 (Instream anchored habitat structures placed, main stream channel modified; Diversion dams removed or modified).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07364, 42.69965)"
7858,ecoatlas,NA,Oak Woodland Restoration,NA,Completed,NA,NA,NA,NA,NA,"Increase upland water storage capacity, increase native plant species composition, increase wildlife habitat (vegetation for food, cover, or nesting); Total BMPs: 1 (Upland, Grazing, and Irrigation Management).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.898, 42.15598)"
10261,ecoatlas,NA,Ditch Gulch Curve Improvement Project,NA,Construction in-progress,NA,NA,NA,NA,NA,"The purpose of the project is to reduce the frequency and severity of accidents along the portion of State Route (SR) 36, between Post Mile (PM) 26.7 and 27.1, in Trinity County. The project will improve roadway geometrics, increase sight distances, place metal beam guardrail (MBGR), and install roadway signs.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010212,"c(-123.1784, 40.4173)"
7843,ecoatlas,NA,Williamson River Floodplain Reconnection,NA,Completed,NA,NA,NA,NA,NA,"The design objectives included the following: 1) Remove a portion of the existing remnant levee to allow hydraulic reconnection of the Cottonwood site to the Williamson River and Upper Klamath Lake; 2) Construct off channel slough to restore hydrologic connection under a variety of lake stage and streamflow conditions; 3) Create varied topography to re-establish a diversity of off channel wetland habitats including deep water wetland, emergent wetland, and riparian wet prairie; 4) Restore remnant agricultural toe drain to improve establishment of a variety of native wetland vegetation communities.; Total BMPs: 2 (Instream restoration and channel construction; Levee Removal/ Floodplain reconnection).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.22123, 42.86613)"
7847,ecoatlas,NA,Hawkins Cattle Company Klamath Off-project Water Lease,NA,Completed,NA,NA,NA,NA,NA,Improve/increase stream flow; Total BMPs: 1 (Instream water right transfers/leases).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-121.94366, 42.64014)"
8342,ecoatlas,NA,Whole Enchilada Curve Improvement Project,NA,Construction completed,NA,NA,NA,NA,NA,"A curve correction was implemented on Highway 299 in Trinity County, CA. The project spanned from PostMile 0.40 to 0.85. The project straightened several individual curves and was designed to improve roadway geometrics, improve super-elevation (cross-slope) transitions, provide 4 ft. paved shoulders, and improve project-area drainage elements.",Unknown/Unspecified,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.59221, 40.88804)"
8341,ecoatlas,NA,Whole Enchilada Curve Improvement Project,NA,Construction completed,NA,NA,NA,NA,NA,"A curve correction was implemented on Highway 299 in Trinity County, CA. The project spanned from PostMile 0.40 to 0.85. The project straightened several individual curves and was designed to improve roadway geometrics, improve super-elevation (cross-slope) transitions, provide 4 ft. paved shoulders, and improve project-area drainage elements.",Unknown/Unspecified,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.59168, 40.88775)"
7841,ecoatlas,NA,Upper Klamath Lake Watershed Riparian Fencing,NA,Completed,NA,NA,NA,NA,NA,"Increase future stream shading/increase vegetation to provide shade, increase/improve aquatic habitat, decrease erosion/stream sedimentation, decrease livestock access to stream, decrease stream temperature, improve/increase stream cool water habitat, increase/improve water quality, increase vegetation to filter runoff, increase streambank stabilization/protection, increase native plant species composition; Total BMPs: 1 (Riparian fencing).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010201,"c(-121.91244, 42.65267)"
